	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
STAT4	0	0.751649	0.824	0.664	0	CD4+ T-cells	STAT4
GPRIN3	0	0.666996	0.788	0.628	0	CD4+ T-cells	GPRIN3
SAMD3	0	0.666698	0.564	0.454	0	CD4+ T-cells	SAMD3
ITGA4	0	0.63736	0.666	0.567	0	CD4+ T-cells	ITGA4
BICDL1	0	0.596187	0.591	0.504	0	CD4+ T-cells	BICDL1
ARAP2	0	0.565413	0.751	0.605	0	CD4+ T-cells	ARAP2
DOCK10	0	0.529783	0.956	0.78	0	CD4+ T-cells	DOCK10
ICOS	4.38E-286	0.58712	0.577	0.529	8.77E-283	CD4+ T-cells	ICOS
FAAH2	5.71E-203	0.512829	0.511	0.469	1.14E-199	CD4+ T-cells	FAAH2
AOAH	5.94E-183	0.513803	0.582	0.516	1.19E-179	CD4+ T-cells	AOAH
TPT1	0	1.803174	0.996	0.772	0	CD4+ T-cells	TPT1
RPS12	0	1.68455	0.982	0.675	0	CD4+ T-cells	RPS12
RPL32	0	1.647422	0.99	0.687	0	CD4+ T-cells	RPL32
RPL30	0	1.621287	0.991	0.704	0	CD4+ T-cells	RPL30
RPS18	0	1.606008	0.99	0.698	0	CD4+ T-cells	RPS18
RPS23	0	1.587719	0.985	0.662	0	CD4+ T-cells	RPS23
RPS14	0	1.544621	0.972	0.636	0	CD4+ T-cells	RPS14
RPL11	0	1.539195	0.988	0.672	0	CD4+ T-cells	RPL11
RPLP1	0	1.53532	0.994	0.743	0	CD4+ T-cells	RPLP1
RPS4X	0	1.533459	0.982	0.65	0	CD4+ T-cells	RPS4X
EEF1A1	0	1.530072	0.999	0.793	0	CD4+ T-cells	EEF1A1
RPL19	0	1.513059	0.984	0.657	0	CD4+ T-cells	RPL19
RPL34	0	1.495511	0.987	0.652	0	CD4+ T-cells	RPL34
RPL10	0	1.494178	0.996	0.769	0	CD4+ T-cells	RPL10
RPS27A	0	1.493856	0.985	0.686	0	CD4+ T-cells	RPS27A
RPS8	0	1.492607	0.978	0.628	0	CD4+ T-cells	RPS8
RPS13	0	1.47345	0.939	0.565	0	CD4+ T-cells	RPS13
RPL41	0	1.464925	0.986	0.716	0	CD4+ T-cells	RPL41
RPS25	0	1.427883	0.969	0.623	0	CD4+ T-cells	RPS25
RPS19	0	1.425397	0.992	0.72	0	CD4+ T-cells	RPS19
RPS3	0	1.417376	0.983	0.681	0	CD4+ T-cells	RPS3
RPS15	0	1.409442	0.974	0.622	0	CD4+ T-cells	RPS15
RPL28	0	1.40787	0.994	0.703	0	CD4+ T-cells	RPL28
RPL3	0	1.394139	0.979	0.645	0	CD4+ T-cells	RPL3
RPL29	0	1.391861	0.969	0.625	0	CD4+ T-cells	RPL29
RPL35A	0	1.391332	0.94	0.57	0	CD4+ T-cells	RPL35A
RPL18	0	1.383626	0.968	0.615	0	CD4+ T-cells	RPL18
RPL27A	0	1.370406	0.977	0.639	0	CD4+ T-cells	RPL27A
TMSB4X	0	1.348015	0.998	0.85	0	CD4+ T-cells	TMSB4X
RPL14	0	1.344209	0.952	0.604	0	CD4+ T-cells	RPL14
RPL13A	0	1.339293	0.992	0.705	0	CD4+ T-cells	RPL13A
RPS2	0	1.327815	0.988	0.71	0	CD4+ T-cells	RPS2
RPL6	0	1.308113	0.962	0.605	0	CD4+ T-cells	RPL6
RPL15	0	1.286118	0.959	0.619	0	CD4+ T-cells	RPL15
RPL7A	0	1.278841	0.932	0.585	0	CD4+ T-cells	RPL7A
FAU	0	1.236748	0.923	0.559	0	CD4+ T-cells	FAU
TMSB10	0	1.227254	0.985	0.719	0	CD4+ T-cells	TMSB10
RPL5	0	1.211793	0.949	0.607	0	CD4+ T-cells	RPL5
RPS9	0	1.209368	0.97	0.645	0	CD4+ T-cells	RPS9
RPL10A	0	1.201356	0.91	0.576	0	CD4+ T-cells	RPL10A
RPL8	0	1.177194	0.944	0.584	0	CD4+ T-cells	RPL8
B2M	0	1.150594	1	0.935	0	CD4+ T-cells	B2M
EEF1B2	0	1.149201	0.86	0.513	0	CD4+ T-cells	EEF1B2
ACTB	0	1.143237	0.996	0.821	0	CD4+ T-cells	ACTB
RPS5	0	1.086444	0.852	0.512	0	CD4+ T-cells	RPS5
RACK1	0	1.077225	0.903	0.574	0	CD4+ T-cells	RACK1
RPL23	0	1.041984	0.866	0.502	0	CD4+ T-cells	RPL23
PTMA	0	1.002357	0.955	0.647	0	CD4+ T-cells	PTMA
ACTG1	0	0.926406	0.925	0.651	0	CD4+ T-cells	ACTG1
HLA-C	0	0.852689	0.974	0.75	0	CD4+ T-cells	HLA-C
CFL1	0	0.804685	0.773	0.501	0	CD4+ T-cells	CFL1
IL7R	0	0.779372	0.929	0.731	0	CD4+ T-cells	IL7R
S100A4	0	0.718198	0.596	0.494	0	CD4+ T-cells	S100A4
SH3BGRL3	0	0.691152	0.615	0.453	0	CD4+ T-cells	SH3BGRL3
CCR7	0	0.650046	0.733	0.531	0	CD4+ T-cells	CCR7
GAPDH	0	0.621832	0.623	0.486	0	CD4+ T-cells	GAPDH
UBC	0	0.606815	0.78	0.549	0	CD4+ T-cells	UBC
FTL	0	0.588668	0.682	0.474	0	CD4+ T-cells	FTL
MAMDC2	0	0.570595	0.756	0.432	0	CD4+ T-cells	MAMDC2
GHR	0	3.084746	0.979	0.234	0	Adipocytes	GHR
ACACB	0	3.004903	0.981	0.342	0	Adipocytes	ACACB
DMD	0	2.888736	0.963	0.281	0	Adipocytes	DMD
SLC19A3	0	2.852819	0.915	0.163	0	Adipocytes	SLC19A3
LRP1B	0	2.785857	0.872	0.205	0	Adipocytes	LRP1B
PCDH9	0	2.736976	0.895	0.181	0	Adipocytes	PCDH9
SORBS1	0	2.692691	0.939	0.171	0	Adipocytes	SORBS1
TMEM132C	0	2.622776	0.902	0.18	0	Adipocytes	TMEM132C
PPARG	0	2.582719	0.922	0.224	0	Adipocytes	PPARG
ADH1B	0	2.554388	0.873	0.192	0	Adipocytes	ADH1B
AQP7	0	2.525988	0.896	0.194	0	Adipocytes	AQP7
TENM3	0	2.42085	0.908	0.2	0	Adipocytes	TENM3
SIK2	0	2.314918	0.919	0.426	0	Adipocytes	SIK2
EBF1	0	2.307316	0.977	0.329	0	Adipocytes	EBF1
LAMA4	0	2.297909	0.918	0.231	0	Adipocytes	LAMA4
PTGER3	0	2.271218	0.781	0.161	0	Adipocytes	PTGER3
SOX5	0	2.264662	0.851	0.213	0	Adipocytes	SOX5
FAM13A	0	2.257939	0.891	0.378	0	Adipocytes	FAM13A
LPL	0	2.190431	0.784	0.15	0	Adipocytes	LPL
RHOBTB3	0	2.167248	0.854	0.247	0	Adipocytes	RHOBTB3
CD36	0	2.130808	0.912	0.214	0	Adipocytes	CD36
PLIN1	0	2.125385	0.807	0.21	0	Adipocytes	PLIN1
MGST1	0	2.122256	0.803	0.17	0	Adipocytes	MGST1
ACSS3	0	2.102671	0.779	0.174	0	Adipocytes	ACSS3
PRKAR2B	0	2.054224	0.759	0.148	0	Adipocytes	PRKAR2B
CALCRL	0	1.987554	0.732	0.207	0	Adipocytes	CALCRL
TEAD1	0	1.967379	0.848	0.233	0	Adipocytes	TEAD1
GNAI1	0	1.965128	0.779	0.183	0	Adipocytes	GNAI1
TCF7L2	0	1.937757	0.89	0.309	0	Adipocytes	TCF7L2
GYG2	0	1.936404	0.746	0.127	0	Adipocytes	GYG2
FIGN	0	1.916494	0.783	0.159	0	Adipocytes	FIGN
ITSN1	0	1.91372	0.857	0.261	0	Adipocytes	ITSN1
EFNA5	0	1.893613	0.824	0.165	0	Adipocytes	EFNA5
MAPK10	0	1.887556	0.832	0.223	0	Adipocytes	MAPK10
MAST4	0	1.882743	0.901	0.47	0	Adipocytes	MAST4
ABHD5	0	1.870244	0.756	0.277	0	Adipocytes	ABHD5
SLC1A3	0	1.86039	0.726	0.135	0	Adipocytes	SLC1A3
ACSL1	0	1.859752	0.741	0.218	0	Adipocytes	ACSL1
DLC1	0	1.852329	0.918	0.256	0	Adipocytes	DLC1
PTPRS	0	1.846759	0.838	0.176	0	Adipocytes	PTPRS
PPP2R1B	0	1.842099	0.786	0.314	0	Adipocytes	PPP2R1B
TLN2	0	1.842052	0.814	0.24	0	Adipocytes	TLN2
ADIPOQ	0	1.828298	0.729	0.18	0	Adipocytes	ADIPOQ
EPB41L4B	0	1.821121	0.742	0.168	0	Adipocytes	EPB41L4B
PALMD	0	1.791964	0.788	0.161	0	Adipocytes	PALMD
GBE1	0	1.789879	0.808	0.36	0	Adipocytes	GBE1
TNS1	0	1.77576	0.804	0.224	0	Adipocytes	TNS1
PECR	0	1.734629	0.764	0.288	0	Adipocytes	PECR
ACSS2	0	1.707036	0.759	0.257	0	Adipocytes	ACSS2
PDZRN3	0	1.702501	0.758	0.165	0	Adipocytes	PDZRN3
PCOLCE2	0	1.690684	0.73	0.265	0	Adipocytes	PCOLCE2
ACVR1C	0	1.684342	0.691	0.277	0	Adipocytes	ACVR1C
ASPH	0	1.683247	0.869	0.404	0	Adipocytes	ASPH
GPAM	0	1.679944	0.667	0.188	0	Adipocytes	GPAM
AL845331.2	0	1.66729	0.722	0.147	0	Adipocytes	AL845331.2
CLSTN2	0	1.661664	0.624	0.162	0	Adipocytes	CLSTN2
LVRN	0	1.659485	0.712	0.159	0	Adipocytes	LVRN
PLXNA4	0	1.658766	0.721	0.168	0	Adipocytes	PLXNA4
ANGPTL4	0	1.648701	0.677	0.19	0	Adipocytes	ANGPTL4
SOX6	0	1.642888	0.723	0.188	0	Adipocytes	SOX6
GRK3	0	1.635988	0.799	0.29	0	Adipocytes	GRK3
COL4A2	0	1.632327	0.78	0.199	0	Adipocytes	COL4A2
PLIN5	0	1.62226	0.68	0.228	0	Adipocytes	PLIN5
CIDEA	0	1.621561	0.706	0.157	0	Adipocytes	CIDEA
PTEN	0	1.609874	0.91	0.703	0	Adipocytes	PTEN
LMO3	0	1.60583	0.665	0.127	0	Adipocytes	LMO3
AGBL4	0	1.601691	0.69	0.212	0	Adipocytes	AGBL4
LGR4	0	1.59456	0.69	0.157	0	Adipocytes	LGR4
GABRE	0	1.594532	0.717	0.177	0	Adipocytes	GABRE
MEST	0	1.580864	0.647	0.233	0	Adipocytes	MEST
PNPLA2	0	1.575306	0.743	0.304	0	Adipocytes	PNPLA2
RBPMS	0	1.572438	0.878	0.289	0	Adipocytes	RBPMS
MLXIPL	0	1.56811	0.709	0.15	0	Adipocytes	MLXIPL
CPM	0	1.562715	0.7	0.195	0	Adipocytes	CPM
LEPR	0	1.559792	0.714	0.283	0	Adipocytes	LEPR
TRHDE	0	1.556639	0.594	0.141	0	Adipocytes	TRHDE
THRB	0	1.550691	0.738	0.205	0	Adipocytes	THRB
ANO6	0	1.543145	0.839	0.532	0	Adipocytes	ANO6
FABP4	0	1.541324	0.718	0.232	0	Adipocytes	FABP4
FOXP2	0	1.536465	0.79	0.202	0	Adipocytes	FOXP2
ANGPT1	0	1.536419	0.684	0.138	0	Adipocytes	ANGPT1
GPAT3	0	1.534296	0.653	0.236	0	Adipocytes	GPAT3
CACHD1	0	1.532078	0.677	0.27	0	Adipocytes	CACHD1
LIMA1	0	1.529307	0.822	0.338	0	Adipocytes	LIMA1
EYA1	0	1.525539	0.634	0.163	0	Adipocytes	EYA1
ADRA1A	0	1.519608	0.7	0.161	0	Adipocytes	ADRA1A
COL4A1	0	1.518765	0.721	0.188	0	Adipocytes	COL4A1
PFKFB1	0	1.516005	0.623	0.202	0	Adipocytes	PFKFB1
PBX1	0	1.514486	0.828	0.271	0	Adipocytes	PBX1
PDE3B	0	1.512998	0.975	0.799	0	Adipocytes	PDE3B
CRLS1	0	1.510673	0.725	0.315	0	Adipocytes	CRLS1
RNF150	0	1.509526	0.727	0.183	0	Adipocytes	RNF150
CADM2	0	1.500133	0.583	0.137	0	Adipocytes	CADM2
PHLDB2	0	1.487484	0.734	0.275	0	Adipocytes	PHLDB2
PLA2G16	0	1.482491	0.665	0.229	0	Adipocytes	PLA2G16
NAV3	0	1.47953	0.764	0.214	0	Adipocytes	NAV3
ALPK3	0	1.463378	0.635	0.163	0	Adipocytes	ALPK3
INSR	0	1.45691	0.805	0.234	0	Adipocytes	INSR
CAT	0	1.454572	0.693	0.334	0	Adipocytes	CAT
TMEM164	0	1.443787	0.675	0.314	0	Adipocytes	TMEM164
MAOA	0	1.431536	0.629	0.162	0	Adipocytes	MAOA
IRS2	0	1.429243	0.706	0.266	0	Adipocytes	IRS2
BCL6	0	1.427502	0.721	0.322	0	Adipocytes	BCL6
FGF2	0	1.42074	0.629	0.165	0	Adipocytes	FGF2
SLC4A4	0	1.420322	0.668	0.23	0	Adipocytes	SLC4A4
ABCA1	0	1.418733	0.811	0.302	0	Adipocytes	ABCA1
YAP1	0	1.414335	0.734	0.207	0	Adipocytes	YAP1
SEMA3A	0	1.387042	0.666	0.184	0	Adipocytes	SEMA3A
NRIP1	0	1.385769	0.806	0.423	0	Adipocytes	NRIP1
PRICKLE2	0	1.37757	0.677	0.152	0	Adipocytes	PRICKLE2
ACO1	0	1.37468	0.645	0.291	0	Adipocytes	ACO1
PALM2-AKAP2	0	1.372675	0.594	0.133	0	Adipocytes	PALM2-AKAP2
MAGI2	0	1.370964	0.779	0.285	0	Adipocytes	MAGI2
ADAMTS12	0	1.358944	0.644	0.166	0	Adipocytes	ADAMTS12
DHRS3	0	1.356321	0.734	0.359	0	Adipocytes	DHRS3
COBLL1	0	1.356202	0.733	0.194	0	Adipocytes	COBLL1
NHS	0	1.356067	0.662	0.21	0	Adipocytes	NHS
PTPRF	0	1.355296	0.686	0.153	0	Adipocytes	PTPRF
PTPRG	0	1.353581	0.859	0.29	0	Adipocytes	PTPRG
NFIB	0	1.33683	0.837	0.268	0	Adipocytes	NFIB
STARD13	0	1.330929	0.752	0.227	0	Adipocytes	STARD13
SH3D19	0	1.330903	0.785	0.32	0	Adipocytes	SH3D19
DIRC3	0	1.32873	0.707	0.327	0	Adipocytes	DIRC3
PXDN	0	1.305778	0.623	0.167	0	Adipocytes	PXDN
CACNA2D1	0	1.30543	0.673	0.19	0	Adipocytes	CACNA2D1
CABLES1	0	1.301869	0.629	0.164	0	Adipocytes	CABLES1
KCNIP2	0	1.293242	0.59	0.171	0	Adipocytes	KCNIP2
MME	0	1.290113	0.567	0.16	0	Adipocytes	MME
APBB2	0	1.287518	0.786	0.248	0	Adipocytes	APBB2
FGF13	0	1.283541	0.633	0.158	0	Adipocytes	FGF13
SESTD1	0	1.27792	0.77	0.343	0	Adipocytes	SESTD1
TPRG1	0	1.277657	0.642	0.29	0	Adipocytes	TPRG1
GAB1	0	1.275223	0.721	0.215	0	Adipocytes	GAB1
GPC6	0	1.273825	0.623	0.201	0	Adipocytes	GPC6
SPTBN1	0	1.267349	0.888	0.665	0	Adipocytes	SPTBN1
PRKAG2	0	1.266942	0.803	0.567	0	Adipocytes	PRKAG2
ZBTB16	0	1.265153	0.652	0.245	0	Adipocytes	ZBTB16
ECHDC2	0	1.261937	0.787	0.484	0	Adipocytes	ECHDC2
MAGI1	0	1.258824	0.831	0.273	0	Adipocytes	MAGI1
EMP1	0	1.258383	0.655	0.198	0	Adipocytes	EMP1
MAOB	0	1.255954	0.601	0.126	0	Adipocytes	MAOB
EYA4	0	1.251105	0.597	0.172	0	Adipocytes	EYA4
LIPE	0	1.243091	0.636	0.252	0	Adipocytes	LIPE
ITIH5	0	1.237164	0.661	0.182	0	Adipocytes	ITIH5
PLSCR4	0	1.233436	0.705	0.219	0	Adipocytes	PLSCR4
ELL2	0	1.231359	0.685	0.293	0	Adipocytes	ELL2
KIF13A	0	1.229797	0.751	0.273	0	Adipocytes	KIF13A
CPED1	0	1.229583	0.64	0.204	0	Adipocytes	CPED1
RTN3	0	1.223366	0.725	0.363	0	Adipocytes	RTN3
NTRK2	0	1.222186	0.637	0.125	0	Adipocytes	NTRK2
COX14	0	1.215803	0.651	0.362	0	Adipocytes	COX14
CTIF	0	1.214253	0.657	0.18	0	Adipocytes	CTIF
SORT1	0	1.209783	0.599	0.162	0	Adipocytes	SORT1
GPD1	0	1.208401	0.611	0.18	0	Adipocytes	GPD1
VKORC1L1	0	1.202875	0.696	0.379	0	Adipocytes	VKORC1L1
FERMT2	0	1.198728	0.655	0.205	0	Adipocytes	FERMT2
THSD7B	0	1.198222	0.594	0.139	0	Adipocytes	THSD7B
EHBP1	0	1.197489	0.84	0.546	0	Adipocytes	EHBP1
BNC2	0	1.195798	0.781	0.225	0	Adipocytes	BNC2
ARHGAP24	0	1.194781	0.794	0.271	0	Adipocytes	ARHGAP24
ADCY5	0	1.178771	0.56	0.115	0	Adipocytes	ADCY5
ZNF117	0	1.172925	0.592	0.251	0	Adipocytes	ZNF117
CYB5A	0	1.163649	0.645	0.248	0	Adipocytes	CYB5A
PDGFC	0	1.158697	0.674	0.209	0	Adipocytes	PDGFC
MREG	0	1.156229	0.655	0.231	0	Adipocytes	MREG
PC	0	1.149897	0.634	0.195	0	Adipocytes	PC
C2CD2	0	1.145221	0.69	0.291	0	Adipocytes	C2CD2
KLB	0	1.144223	0.623	0.136	0	Adipocytes	KLB
CECR2	0	1.131486	0.565	0.145	0	Adipocytes	CECR2
TBC1D4	0	1.129985	0.761	0.497	0	Adipocytes	TBC1D4
CSAD	0	1.127098	0.72	0.375	0	Adipocytes	CSAD
NET1	0	1.121327	0.562	0.215	0	Adipocytes	NET1
C10orf10	0	1.115986	0.603	0.201	0	Adipocytes	C10orf10
PDE8B	0	1.115251	0.504	0.132	0	Adipocytes	PDE8B
SLC16A7	0	1.112744	0.839	0.717	0	Adipocytes	SLC16A7
PLOD2	0	1.111733	0.621	0.183	0	Adipocytes	PLOD2
PCCA	0	1.108542	0.8	0.487	0	Adipocytes	PCCA
GREB1L	0	1.101673	0.65	0.21	0	Adipocytes	GREB1L
PPP1R12B	0	1.099401	0.79	0.48	0	Adipocytes	PPP1R12B
PCSK5	0	1.099129	0.675	0.418	0	Adipocytes	PCSK5
TENM4	0	1.089433	0.528	0.145	0	Adipocytes	TENM4
PDZD2	0	1.087721	0.663	0.273	0	Adipocytes	PDZD2
FAM126B	0	1.0829	0.727	0.472	0	Adipocytes	FAM126B
ARHGEF26	0	1.062964	0.534	0.21	0	Adipocytes	ARHGEF26
ME1	0	1.055892	0.598	0.181	0	Adipocytes	ME1
AKAP12	0	1.054916	0.621	0.191	0	Adipocytes	AKAP12
NRP1	0	1.05356	0.718	0.24	0	Adipocytes	NRP1
ENOX1	0	1.05194	0.607	0.209	0	Adipocytes	ENOX1
ALDH1L1	0	1.048354	0.527	0.192	0	Adipocytes	ALDH1L1
IMMP2L	0	1.044424	0.951	0.79	0	Adipocytes	IMMP2L
MGEA5	0	1.043737	0.888	0.807	0	Adipocytes	MGEA5
DAPK2	0	1.041423	0.626	0.21	0	Adipocytes	DAPK2
ANK2	0	1.040548	0.669	0.237	0	Adipocytes	ANK2
OSBPL1A	0	1.037677	0.68	0.244	0	Adipocytes	OSBPL1A
CLMP	0	1.035628	0.584	0.21	0	Adipocytes	CLMP
ANTXR2	0	1.034293	0.739	0.521	0	Adipocytes	ANTXR2
1-Mar	0	1.029032	0.512	0.15	0	Adipocytes	1-Mar
PDK4	0	1.013595	0.573	0.208	0	Adipocytes	PDK4
HSDL2	0	1.010389	0.675	0.334	0	Adipocytes	HSDL2
PHLPP1	0	1.004707	0.652	0.361	0	Adipocytes	PHLPP1
FGF10	0	1.003356	0.545	0.127	0	Adipocytes	FGF10
BPHL	0	1.001617	0.608	0.247	0	Adipocytes	BPHL
CRIM1	0	0.997476	0.716	0.24	0	Adipocytes	CRIM1
ITGA7	0	0.986236	0.537	0.182	0	Adipocytes	ITGA7
PPM1L	0	0.985961	0.624	0.24	0	Adipocytes	PPM1L
GOLGA8M	0	0.985649	0.634	0.24	0	Adipocytes	GOLGA8M
ACADL	0	0.983254	0.557	0.157	0	Adipocytes	ACADL
MAP3K5	0	0.976219	0.816	0.682	0	Adipocytes	MAP3K5
MCCC1	0	0.975068	0.693	0.423	0	Adipocytes	MCCC1
EGFR	0	0.970552	0.609	0.188	0	Adipocytes	EGFR
11-Sep	0	0.965995	0.656	0.342	0	Adipocytes	11-Sep
MOCS1	0	0.962068	0.545	0.123	0	Adipocytes	MOCS1
SDC2	0	0.961432	0.599	0.193	0	Adipocytes	SDC2
TMEM135	0	0.958853	0.747	0.525	0	Adipocytes	TMEM135
WASF3	0	0.951088	0.582	0.179	0	Adipocytes	WASF3
FREM1	0	0.950441	0.593	0.162	0	Adipocytes	FREM1
COL5A2	0	0.94915	0.587	0.173	0	Adipocytes	COL5A2
LHFPL6	0	0.948541	0.752	0.263	0	Adipocytes	LHFPL6
PPP2R5A	0	0.945306	0.755	0.607	0	Adipocytes	PPP2R5A
FGD4	0	0.944793	0.636	0.224	0	Adipocytes	FGD4
CHKA	0	0.941042	0.59	0.207	0	Adipocytes	CHKA
CDC42BPA	0	0.939463	0.711	0.245	0	Adipocytes	CDC42BPA
IGF1	0	0.933842	0.585	0.185	0	Adipocytes	IGF1
MID1	0	0.933434	0.554	0.19	0	Adipocytes	MID1
ZNF704	0	0.930476	0.578	0.235	0	Adipocytes	ZNF704
RETSAT	0	0.929837	0.568	0.265	0	Adipocytes	RETSAT
ST7	0	0.916262	0.675	0.288	0	Adipocytes	ST7
SCP2	0	0.913007	0.698	0.407	0	Adipocytes	SCP2
NPAS3	0	0.911026	0.648	0.21	0	Adipocytes	NPAS3
NTM	0	0.903418	0.584	0.182	0	Adipocytes	NTM
HOOK2	0	0.901547	0.582	0.26	0	Adipocytes	HOOK2
PPARGC1A	0	0.898168	0.503	0.109	0	Adipocytes	PPARGC1A
PTPN14	0	0.894369	0.641	0.225	0	Adipocytes	PTPN14
ABCA8	0	0.893432	0.668	0.211	0	Adipocytes	ABCA8
FAM214A	0	0.892278	0.82	0.666	0	Adipocytes	FAM214A
TBX15	0	0.890381	0.523	0.145	0	Adipocytes	TBX15
ECM2	0	0.889017	0.555	0.218	0	Adipocytes	ECM2
EYA2	0	0.87687	0.542	0.16	0	Adipocytes	EYA2
GLUL	0	0.864695	0.598	0.222	0	Adipocytes	GLUL
EPS8	0	0.860638	0.638	0.229	0	Adipocytes	EPS8
ADGRL2	0	0.856699	0.658	0.203	0	Adipocytes	ADGRL2
STOX1	0	0.853594	0.545	0.132	0	Adipocytes	STOX1
TGFBR3	0	0.850877	0.748	0.448	0	Adipocytes	TGFBR3
UBE2E2	0	0.846705	0.782	0.406	0	Adipocytes	UBE2E2
F3	0	0.830809	0.558	0.195	0	Adipocytes	F3
LAMC1	0	0.829895	0.694	0.227	0	Adipocytes	LAMC1
SLIT3	0	0.816803	0.612	0.233	0	Adipocytes	SLIT3
MARK1	0	0.80947	0.57	0.205	0	Adipocytes	MARK1
LIMCH1	0	0.8088	0.599	0.219	0	Adipocytes	LIMCH1
FAM213A	0	0.807811	0.574	0.208	0	Adipocytes	FAM213A
IRS1	0	0.802632	0.521	0.171	0	Adipocytes	IRS1
LGALS12	0	0.802407	0.535	0.131	0	Adipocytes	LGALS12
PQLC2L	0	0.801281	0.509	0.085	0	Adipocytes	PQLC2L
SVEP1	0	0.782035	0.592	0.191	0	Adipocytes	SVEP1
MGLL	0	0.764217	0.53	0.173	0	Adipocytes	MGLL
PHLDB1	0	0.761651	0.549	0.197	0	Adipocytes	PHLDB1
SEMA3C	0	0.760217	0.588	0.206	0	Adipocytes	SEMA3C
AKR1C1	0	0.759718	0.556	0.185	0	Adipocytes	AKR1C1
NAALAD2	0	0.756559	0.519	0.198	0	Adipocytes	NAALAD2
NAALADL2	0	0.752633	0.691	0.322	0	Adipocytes	NAALADL2
TNS2	0	0.750355	0.531	0.209	0	Adipocytes	TNS2
RNF130	0	0.747929	0.663	0.34	0	Adipocytes	RNF130
PTPRM	0	0.731012	0.821	0.431	0	Adipocytes	PTPRM
ROBO1	0	0.727058	0.668	0.271	0	Adipocytes	ROBO1
ARHGAP10	0	0.72664	0.704	0.34	0	Adipocytes	ARHGAP10
QKI	0	0.724648	0.784	0.529	0	Adipocytes	QKI
TRPS1	0	0.722166	0.821	0.592	0	Adipocytes	TRPS1
SDK1	0	0.719882	0.74	0.313	0	Adipocytes	SDK1
ZEB2	0	0.711469	0.778	0.337	0	Adipocytes	ZEB2
ENPP2	0	0.711181	0.537	0.165	0	Adipocytes	ENPP2
MITF	0	0.670081	0.572	0.192	0	Adipocytes	MITF
MTUS1	0	0.599574	0.566	0.238	0	Adipocytes	MTUS1
LRMDA	0	0.588739	0.806	0.341	0	Adipocytes	LRMDA
ME3	0	0.551736	0.518	0.201	0	Adipocytes	ME3
AMOTL1	0	0.535511	0.524	0.178	0	Adipocytes	AMOTL1
HNMT	0	0.532655	0.531	0.156	0	Adipocytes	HNMT
ADAM12	0	0.521161	0.57	0.195	0	Adipocytes	ADAM12
WDFY3	0	0.519622	0.679	0.263	0	Adipocytes	WDFY3
PLS3	0	0.507136	0.512	0.182	0	Adipocytes	PLS3
CRYBG3	8.98E-308	0.886999	0.576	0.248	1.80E-304	Adipocytes	CRYBG3
YWHAG	1.61E-307	0.826675	0.644	0.356	3.22E-304	Adipocytes	YWHAG
ELMOD3	6.35E-306	1.043268	0.628	0.345	1.27E-302	Adipocytes	ELMOD3
ARHGEF28	4.11E-300	1.011013	0.514	0.16	8.23E-297	Adipocytes	ARHGEF28
NDC80	2.70E-295	1.105701	0.512	0.18	5.40E-292	Adipocytes	NDC80
COQ8A	9.60E-294	1.120839	0.585	0.28	1.92E-290	Adipocytes	COQ8A
TTLL7	2.26E-293	0.66933	0.524	0.236	4.52E-290	Adipocytes	TTLL7
EEPD1	4.71E-287	0.975267	0.554	0.225	9.41E-284	Adipocytes	EEPD1
RBMS3	5.09E-279	0.63293	0.616	0.261	1.02E-275	Adipocytes	RBMS3
NOVA1	2.16E-278	0.609432	0.544	0.173	4.32E-275	Adipocytes	NOVA1
ARHGAP32	5.77E-276	0.847511	0.599	0.289	1.15E-272	Adipocytes	ARHGAP32
FMO2	4.16E-275	0.946114	0.518	0.168	8.33E-272	Adipocytes	FMO2
AIG1	4.42E-274	0.992097	0.629	0.353	8.84E-271	Adipocytes	AIG1
NIPSNAP3B	7.45E-273	1.115667	0.526	0.23	1.49E-269	Adipocytes	NIPSNAP3B
MTURN	3.53E-272	0.924997	0.562	0.269	7.05E-269	Adipocytes	MTURN
FNIP2	8.52E-272	0.767329	0.608	0.306	1.70E-268	Adipocytes	FNIP2
TLE1	1.50E-263	0.809574	0.506	0.196	3.00E-260	Adipocytes	TLE1
RRAS2	8.85E-262	0.684815	0.626	0.343	1.77E-258	Adipocytes	RRAS2
CAV1	7.94E-260	0.700169	0.515	0.211	1.59E-256	Adipocytes	CAV1
ADHFE1	6.36E-258	0.840234	0.529	0.243	1.27E-254	Adipocytes	ADHFE1
PLAGL1	6.39E-258	0.801452	0.577	0.258	1.28E-254	Adipocytes	PLAGL1
PER3	1.05E-255	0.730873	0.558	0.277	2.10E-252	Adipocytes	PER3
PLD1	2.39E-255	0.592401	0.573	0.231	4.79E-252	Adipocytes	PLD1
ARHGAP20	2.16E-252	0.764378	0.505	0.216	4.32E-249	Adipocytes	ARHGAP20
EPB41L4A	2.54E-252	0.542419	0.548	0.237	5.08E-249	Adipocytes	EPB41L4A
SPSB1	1.84E-250	0.51251	0.517	0.221	3.69E-247	Adipocytes	SPSB1
ACER3	2.05E-250	0.852644	0.604	0.311	4.11E-247	Adipocytes	ACER3
CYBRD1	3.56E-249	0.65737	0.52	0.207	7.13E-246	Adipocytes	CYBRD1
MACROD2	5.14E-249	0.953754	0.561	0.243	1.03E-245	Adipocytes	MACROD2
