	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Rian1	5.55E-06	0.690878494	0.19	0.106	0.159429389	SMC	Rian
Tead12	6.01E-06	0.416193991	0.551	0.423	0.172759596	SMC	Tead1
Bmpr1a3	6.35E-06	0.609064489	0.445	0.355	0.182455236	SMC	Bmpr1a
Ddrgk1	6.65E-06	0.396303511	0.11	0.051	0.190995833	SMC	Ddrgk1
Myo104	7.06E-06	0.62347627	0.259	0.169	0.2027823	SMC	Myo10
Calcrl3	8.97E-06	0.343838845	0.236	0.14	0.257822834	SMC	Calcrl
Kank12	9.07E-06	0.662960505	0.308	0.219	0.2606346	SMC	Kank1
Ndrg3	9.37E-06	0.684762848	0.198	0.12	0.269301632	SMC	Ndrg3
Son	1.10E-05	0.423204579	0.764	0.744	0.31567225	SMC	Son
Arhgef122	1.24E-05	0.397835102	0.665	0.603	0.35516174	SMC	Arhgef12
Zbtb7c	1.34E-05	0.635561233	0.354	0.261	0.385940479	SMC	Zbtb7c
Serpinh11	1.35E-05	0.588874651	0.198	0.117	0.387292199	SMC	Serpinh1
Steap42	1.37E-05	0.601369531	0.183	0.108	0.392992641	SMC	Steap4
Cdk174	1.37E-05	0.57583307	0.403	0.314	0.394475762	SMC	Cdk17
Lrrfip14	1.40E-05	0.513583834	0.357	0.263	0.401558956	SMC	Lrrfip1
Thbs11	1.50E-05	0.56742774	0.114	0.055	0.431826788	SMC	Thbs1
Hacd1	1.52E-05	0.505462363	0.152	0.084	0.437238167	SMC	Hacd1
Lims22	1.57E-05	0.598074947	0.35	0.266	0.449743724	SMC	Lims2
BC0303361	1.70E-05	0.59615818	0.312	0.227	0.488410988	SMC	BC030336
Marveld11	1.76E-05	0.377895015	0.137	0.072	0.505972673	SMC	Marveld1
Pbxip15	1.89E-05	0.502582243	0.171	0.098	0.542095037	SMC	Pbxip1
Pten1	1.96E-05	0.58799431	0.567	0.515	0.562350195	SMC	Pten
Fblim12	2.10E-05	0.292700002	0.156	0.083	0.602118774	SMC	Fblim1
Trpc11	2.42E-05	0.558686828	0.156	0.088	0.695917204	SMC	Trpc1
Ift813	2.53E-05	0.640565801	0.186	0.112	0.728192606	SMC	Ift81
Nckap14	2.71E-05	0.501710349	0.441	0.358	0.777814581	SMC	Nckap1
Casc42	2.73E-05	0.372500226	0.103	0.048	0.783610499	SMC	Casc4
Bcl23	2.80E-05	0.553604749	0.384	0.301	0.804023595	SMC	Bcl2
Tsc22d15	3.07E-05	0.343028509	0.452	0.347	0.882959992	SMC	Tsc22d1
Arhgap265	3.21E-05	0.305551941	0.559	0.454	0.921800786	SMC	Arhgap26
Rora4	3.34E-05	0.307721067	0.779	0.595	0.958159968	SMC	Rora
Cd2003	3.77E-05	0.385792982	0.163	0.092	1	SMC	Cd200
Chsy32	3.78E-05	1.055755014	0.137	0.075	1	SMC	Chsy3
Prdm51	3.83E-05	0.376171281	0.24	0.152	1	SMC	Prdm5
Tln13	4.08E-05	0.43910276	0.354	0.265	1	SMC	Tln1
Rarb1	4.14E-05	0.453290405	0.152	0.085	1	SMC	Rarb
Prickle24	4.31E-05	0.679771313	0.262	0.178	1	SMC	Prickle2
Itpk14	4.34E-05	0.736117271	0.262	0.186	1	SMC	Itpk1
Ecm22	4.35E-05	0.308667124	0.103	0.048	1	SMC	Ecm2
Gnas2	4.45E-05	0.544361663	0.506	0.457	1	SMC	Gnas
Tnks3	4.72E-05	0.564616857	0.479	0.412	1	SMC	Tnks
Fbxl22	4.89E-05	0.479862519	0.213	0.134	1	SMC	Fbxl2
